id,Floor,Location,CiscoExt,Updateby,ComputerName,SerialNumber,PCModel,CPU,RAM,IPAddress,MACAddress,WindowsEdition,DisplayVersion,OSVersion,CitrixName,CitrixVersion,RecordedDateTime
55,11,26D,10383,405128,T-MOB1001173,8CC91752GW,HP EliteDesk 800 G4 DM 65W,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,8 GB,10.16.111.186,C465.16B1.4A96,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:21:59
56,11,26C,10742,405128,T-MOB1000393,DN4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.109.21,C025.A591.4850,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:23:04
57,11,29 B,10346,JVERANA,T-MOB1001233,4CE1290XZX,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.108.109,0068.EBCC.AB86,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:23:47
58,11,26A,11059,405128,T-MOB1000076,4M4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.111.7,C025.A58A.683B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 16:24:20
59,11,11F,10330,405128,T-MOB1000538,4R4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.109.28,C025.A591.46AE,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:40:24
60,11,29C,10298,JVERANA,T-MOB1001232,8CC91752F8,HP EliteDesk 800 G4 DM 65W,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,8 GB,10.16.82.107,C465.16B1.4A99,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:40:50
61,11,26B,10126,405128,T-MOB1001259,8CC9220JHD,HP EliteDesk 800 G4 DM 65W,Intel(R) Core(TM) i5-8600 CPU @ 3.10GHz,8 GB,10.16.110.23,80E8.2C11.A38B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:41:12
62,11,27D,10756,405128,T-MOB1001172,8CC0250FHX,HP EliteDesk 800 G5 Desktop Mini,Intel(R) Core(TM) i5-9600 CPU @ 3.10GHz,16 GB,10.16.80.54,BCE9.2F85.D55D,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:42:21
63,11,27E,10251,405128,T-MOB1000457,HC4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.80.107,C025.A591.46DA,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:43:11
64,11,29D,11943,JVERANA,T-MOB1000490,B54JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.80.39,C025.A591.4787,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:43:16
65,11,27F,11890,405128,T-MOB1000556,H85JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.80.112,C025.A588.FA73,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:44:18
66,11,27G,10160,405128,T-MOB1000034,4CE1290Y1R,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.108.24,0068.EBCC.A96B,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:45:36
67,11,27B,11454,405128,T-MOB1000425,394JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.82.110,C025.A591.41C4,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:46:11
68,11,27C,11101,405128,T-MOB1000433,CK4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.80.109,C025.A591.4D0F,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:47:12
69,11,29E,10189,JVERANA,T-MOB1000533,245JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.80.43,C025.A591.46A6,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:47:40
70,11,27A,11092,405128,T-MOB1000045,4CE1290Y02,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.80.105,0068.EBCC.ADC9,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:47:47
71,11,29F,10839,JVERANA,T-MOB1000529,5R4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.81.83,C025.A591.42FF,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:49:38
72,11,29G,10259,JVERANA,T-MOB1000365,8X4JMJ3,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,16 GB,10.16.83.37,C025.A58A.6D67,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:53:45
73,11,30E,11462,405128,T-MOB1000030,4CE1290XXF,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.129,0068.EBCC.9C51,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:54:18
74,11,30D,11460,405128,T-MOB1000057,4CE1290XY4,HP EliteDesk 800 G6 Small Form Factor PC,Intel(R) Core(TM) i5-10500 CPU @ 3.10GHz,16 GB,10.16.82.128,0068.EBCC.AE5C,Microsoft Windows 10 Enterprise,22H2,10.0.19045,Citrix Workspace 2311,23.11.1.140,2024-03-11 17:54:27
